Date,CE_M1_D1,CE_M1_D2,CE_M1_D3,CE_M1_D4,CE_M2_D1,CE_M2_D2,CE_M2_D3,CE_M2_D4,CE_M3_D1,CE_M3_D2,CE_M3_D3,CE_M3_D4,CE_M4_D1,CE_M4_D2,CE_M4_D3,CE_M4_D4,CE_M5_D1,CE_M5_D2,CE_M5_D3,CE_M5_D4,PE_M1_D1,PE_M1_D2,PE_M1_D3,PE_M1_D4,PE_M2_D1,PE_M2_D2,PE_M2_D3,PE_M2_D4,PE_M3_D1,PE_M3_D2,PE_M3_D3,PE_M3_D4,PE_M4_D1,PE_M4_D2,PE_M4_D3,PE_M4_D4,PE_M5_D1,PE_M5_D2,PE_M5_D3,PE_M5_D4,Spot,VIX
2024-04-22,0.266631338933092,0.1918124079422236,0.1519012720939334,0.1505203059946886,0.2004405574541821,0.1830077352258639,0.148508006046451,0.1477558038935154,0.147086666749507,0.1405337069852677,0.1354081791179836,0.1355985216162892,0.1283726839169052,0.1183988457747841,0.1211216932938645,0.1258744419805439,0.1813180354772714,0.1180640750799689,0.1154204893179996,0.1453331522654977,0.242830455107149,0.1704541475211237,0.1543035155656206,0.143797466030258,0.1796859890460918,0.1414066080284645,0.1349922732707842,0.1392624627662045,0.1372305470976591,0.1146565373308312,0.1193172150636412,0.1252940515876192,0.1228818438246893,0.0971269678127642,0.12812173109245076,0.1415083916957983,0.1819838868536763,0.1359535652569296,0.1389880576218906,0.1396388158119318,22336.400390625,12.699999809265137
2024-04-23,0.2469218124623344,0.1657383839252946,0.1514863641467107,0.1505968763310414,0.1439042483245634,0.1432301662436947,0.1471077401420623,0.1473179130108745,0.1325556697043342,0.1221901607097237,0.1224426515439524,0.1192292543750664,0.1299751297481708,0.1073501203820447,0.1113296492977771,0.111832836633356,0.2132147848729225,0.1170609559741761,0.1077582853799852,0.1449946355354573,0.2752773292212649,0.1690295450263267,0.1537215993148377,0.1435126977336349,0.1915133109110927,0.1380809429817236,0.1344320404562067,0.141004924889902,0.1382878876685903,0.1178623731941261,0.1211377573900767,0.1258672756439552,0.13735273196406905,0.1027202915636007,0.1199866840905368,0.1414854584827229,0.3059909197958366,0.13469589263739884,0.1388043469065817,0.1394921465066908,22368.0,10.199999809265137
2024-04-24,0.4320903060461394,0.1681880148902745,0.152182098664298,0.1502592657992596,0.2816340077170733,0.147286842994875,0.1330726152116945,0.1468963835068973,0.1341664681205386,0.1158721083224771,0.1179699695522869,0.1168396357058502,0.1694018415265611,0.1019348363781378,0.1057434029914244,0.1094565185120613,0.2804801862955586,0.1180891065481587,0.1035300639110369,0.1445784441661965,0.3235376649007248,0.1584546349922393,0.1478781661427528,0.1430286439067733,0.2081649803746174,0.1278726749761753,0.1295152851262622,0.1353947561248088,0.1221594788300182,0.1069763251276993,0.1138265011561496,0.1197779243603306,0.13735273196406905,0.08920086395302695,0.1065635737501032,0.1408656287654832,0.3059909197958366,0.132711715593811,0.1379199721086444,0.1388093631572115,22402.400390625,10.279999732971191
2024-04-25,0.1501649022614657,0.1517181333076528,0.1511056923897326,0.150084694382524,0.1123794377158663,0.1123005721282405,0.1236309501778272,0.1465233647997681,0.1038474323788662,0.1074620628402038,0.1060865073792548,0.1041017366946123,0.0955722963681825,0.0991036785404009,0.1027324445443232,0.1449507131045209,0.1223653079640943,0.1039189969271814,0.109318468306087,0.1447330556885047,0.1678680943680091,0.1511201965593123,0.1431130541428723,0.1428404509840027,0.1391383103482216,0.1352296978617024,0.1379501155840618,0.1386806372974804,0.1166809706107834,0.1228394392767038,0.1285696987088369,0.1320207743921019,0.1155894439032641,0.1403626963511752,0.1409451131452233,0.1409791900200047,0.15080397109658977,0.13668740710546495,0.1389540768621413,0.1392510051128072,22570.349609375,10.729999542236328
2024-04-26,0.2622027643276868,0.1548882853570649,0.1506570125369415,0.1501697616710737,0.2096712579038165,0.1531405851014209,0.1468960175202783,0.1473562818096057,0.1417763654474692,0.1349525953255582,0.1294125386766159,0.121959798362719,0.1176708931086208,0.1166556262786944,0.1177253292325492,0.1153262396253831,0.1331942894106821,0.1140393933510484,0.1110604453087318,0.144702714400143,0.1615181877855785,0.1452482024615382,0.1415134125496867,0.1428334075322464,0.1240368868130544,0.1222920397610154,0.1248688773446414,0.14223887282403,0.0977807182486972,0.1046760197648246,0.1131960512602112,0.118459123683022,0.0615187506895606,0.0813954055421026,0.1404052805069494,0.140830798467071,0.1306494503027246,0.137643681527147,0.1388449900357274,0.1391531469157565,22419.94921875,10.93000030517578
2024-04-29,0.2589460478115782,0.1589781052778963,0.1508743036538793,0.1502247100794499,0.2020606308602177,0.143663786982076,0.1275639453831392,0.14660798077099305,0.1321698756627177,0.1231585075663688,0.120385643172978,0.1177728836214857,0.1125424734427286,0.1070698320837236,0.1077207964899532,0.1125307639288603,0.1742676493831222,0.1074380551019973,0.1097639515049231,0.1448429692485886,0.2245711942152449,0.161162588546099,0.1488159495184124,0.1432381849544566,0.1648941227609113,0.1375298377398158,0.1333244683895048,0.1361465570672445,0.1122565610923837,0.1181581680867532,0.1235100407676634,0.1280948123857697,0.09329475236120315,0.1028552269062334,0.1412568563504651,0.1409583042314979,0.0993959156445476,0.1356282192797507,0.1384221450107523,0.1390827948778195,22643.400390625,12.239999771118164
2024-04-30,0.4366573762036042,0.1614100123584498,0.150939146228428,0.1501487408868299,0.3037709498189596,0.1522015649374564,0.1414251267277663,0.1460650016284411,0.1605269658311758,0.1291704513620311,0.126104707691631,0.1224353309919038,0.1329012314522962,0.1123435485913237,0.1119557564229001,0.1151272278742938,0.1999687551414055,0.114192595915359,0.108202748898687,0.1079424469759388,0.2310102496483393,0.1526856376415996,0.1477192511733577,0.1429747752317487,0.1484873596317512,0.1283426904621578,0.1324498767331714,0.1388758385480862,0.1098613445941711,0.1071819296119792,0.1191056543361265,0.1240412054660217,0.09329475236120315,0.08171086547398859,0.105549977054251,0.1405376056909389,0.0993959156445476,0.1342585381843778,0.1380677372947202,0.138777963883355,22604.849609375,12.869999885559082
2024-05-02,0.2407815950468663,0.1518773811721036,0.1497655042372584,0.1517120835783481,0.1839433033892797,0.1490431643243511,0.1461108048574309,0.1378060735972457,0.1347149052119892,0.1281594363596851,0.1237492750790913,0.124437389437344,0.1103322063451024,0.1100475419649361,0.1141957042671544,0.1113343967218586,0.1232791522784179,0.1090477932769148,0.10556672858053,0.1033889174011376,0.1588643286803147,0.1405522695258456,0.1425948079384559,0.1448311559095169,0.1222136516843563,0.1242268107378498,0.1307372666925069,0.130818667468325,0.0960374433538219,0.1072488676614694,0.1178762389989026,0.1185894711985273,0.0656935724493497,0.1401209402118765,0.1402817051837667,0.1037507469681339,0.129259143177241,0.1372764548513167,0.1383602129272458,0.0932368147558094,22648.19921875,13.449999809265137
2024-05-03,0.1866109383039928,0.1503493780831649,0.1496076480589142,0.1414986712792668,0.1516514724336091,0.1450923456804805,0.1351165233769318,0.1350780048670999,0.1313582809025067,0.1299322822369989,0.1252405450197956,0.1260427234511599,0.1282648575873914,0.1199190502332241,0.1174631321482925,0.116837766191052,0.14673413854033823,0.12073868075175245,0.11209020188510141,0.1104936314877739,0.1556358943773172,0.1443911102892225,0.1422163235285433,0.1495144787907384,0.1286008908847767,0.1296125301624005,0.1336541723161692,0.1379746473752029,0.1154637828463545,0.1184606908034256,0.1253334591897206,0.1280033997405661,0.0993811203677604,0.1059032374825225,0.1174907677138927,0.1205300599251168,0.1123615219994317,0.1356145394595409,0.1383638416818038,0.11928522320361346,22475.849609375,14.619999885559082
2024-05-06,0.2500094912104864,0.1557245333125714,0.1497031252987299,0.1649176341002476,0.1920695464776073,0.1628986237815334,0.1540429056138901,0.1510864416810806,0.1642921611553628,0.1473406945717109,0.1437721397351777,0.1407114870641984,0.1599823948943063,0.1329181263374849,0.1292279874658418,0.1279172059409528,0.1948171462406619,0.1306703707715771,0.1215128477598081,0.1176658387311176,0.2023608919461161,0.1627238381164449,0.159161482836173,0.1607089027950693,0.1644221831786244,0.1473570905191082,0.1460251567309096,0.1480575253073428,0.1471511525477299,0.1301822297576015,0.1328236725941786,0.1349773601968474,0.1273395873919524,0.1060413194048117,0.1204412079592604,0.1219037955603576,0.1123615219994317,0.132939118076061,0.1369497814981361,0.1121294748623372,22442.69921875,16.600000381469727
