Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice,Spot,VIX,DTE,Moneyness,ExpiryRank
2024-01-01,21050.0,2024-01-11,PE,60850,4280,23.8,21741.900390625,14.579999923706056,10,0.968176636899535,2.0
2024-01-01,21800.0,2024-01-04,CE,6044900,3137865,110.05,21741.900390625,14.579999923706056,3,1.002672241539661,1.0
2024-01-01,21800.0,2024-01-25,PE,1054600,69357,262.6,21741.900390625,14.579999923706056,24,1.002672241539661,4.0
2024-01-01,21050.0,2024-01-18,CE,50,0,781.85,21741.900390625,14.579999923706056,17,0.968176636899535,3.0
2024-01-01,21050.0,2024-01-25,PE,87100,1659,77.75,21741.900390625,14.579999923706056,24,0.968176636899535,4.0
2024-01-01,21000.0,2024-01-04,PE,6693350,642473,3.65,21741.900390625,14.579999923706056,3,0.9658769299235267,1.0
2024-01-01,22200.0,2024-01-18,PE,100,4,476.4,21741.900390625,14.579999923706056,17,1.0210698973477281,3.0
2024-01-01,22750.0,2024-01-04,CE,577000,77272,1.55,21741.900390625,14.579999923706056,3,1.0463666740838204,1.0
2024-01-01,22750.0,2024-01-04,PE,200,0,995.5,21741.900390625,14.579999923706056,3,1.0463666740838204,1.0
2024-01-01,22750.0,2024-01-18,PE,0,0,950.75,21741.900390625,14.579999923706056,17,1.0463666740838204,3.0
2024-01-01,22000.0,2024-01-18,CE,137150,4587,195.0,21741.900390625,14.579999923706056,17,1.0118710694436945,3.0
2024-01-01,21250.0,2024-01-25,CE,27100,171,758.6,21741.900390625,14.579999923706056,24,0.9773754648035686,4.0
2024-01-01,21250.0,2024-01-25,PE,80750,3076,109.7,21741.900390625,14.579999923706056,24,0.9773754648035686,4.0
2024-01-01,21250.0,2024-01-04,CE,31850,715,549.6,21741.900390625,14.579999923706056,3,0.9773754648035686,1.0
2024-01-01,22150.0,2024-01-25,CE,69750,3336,199.35,21741.900390625,14.579999923706056,24,1.0187701903717197,4.0
2024-01-01,22150.0,2024-01-18,CE,5650,174,131.6,21741.900390625,14.579999923706056,17,1.0187701903717197,3.0
2024-01-01,22150.0,2024-01-04,PE,46800,2146,354.45,21741.900390625,14.579999923706056,3,1.0187701903717197,1.0
2024-01-01,22500.0,2024-01-25,PE,592800,4802,692.55,21741.900390625,14.579999923706056,24,1.0348681392037786,4.0
2024-01-01,22500.0,2024-01-11,CE,633450,45640,15.05,21741.900390625,14.579999923706056,10,1.0348681392037786,2.0
2024-01-01,22500.0,2024-01-11,PE,3450,110,670.4,21741.900390625,14.579999923706056,10,1.0348681392037786,2.0
2024-01-01,21000.0,2024-01-25,PE,3881500,55029,72.6,21741.900390625,14.579999923706056,24,0.9658769299235267,4.0
2024-01-01,21500.0,2024-01-25,CE,1496000,15831,565.5,21741.900390625,14.579999923706056,24,0.9888739996836107,4.0
2024-01-01,22150.0,2024-01-25,PE,32100,934,428.9,21741.900390625,14.579999923706056,24,1.0187701903717197,4.0
2024-01-01,20950.0,2024-01-18,CE,0,0,873.65,21741.900390625,14.579999923706056,17,0.9635772229475182,3.0
2024-01-01,22600.0,2024-01-25,PE,24350,63,751.3,21741.900390625,14.579999923706056,24,1.0394675531557953,4.0
2024-01-01,22150.0,2024-01-11,CE,59900,8683,70.45,21741.900390625,14.579999923706056,10,1.0187701903717197,2.0
2024-01-01,22700.0,2024-01-11,CE,358950,22913,5.75,21741.900390625,14.579999923706056,10,1.0440669671078122,2.0
2024-01-01,20900.0,2024-01-18,PE,34450,1557,36.7,21741.900390625,14.579999923706056,17,0.9612775159715099,3.0
2024-01-01,20850.0,2024-01-11,CE,1400,0,932.9,21741.900390625,14.579999923706056,10,0.9589778089955014,2.0
2024-01-01,21450.0,2024-01-25,CE,24550,225,591.0,21741.900390625,14.579999923706056,24,0.9865742927076022,4.0
2024-01-01,22700.0,2024-01-25,CE,531200,16370,50.25,21741.900390625,14.579999923706056,24,1.0440669671078122,4.0
2024-01-01,22700.0,2024-01-18,CE,56100,2999,27.7,21741.900390625,14.579999923706056,17,1.0440669671078122,3.0
2024-01-01,20950.0,2024-01-11,CE,1200,41,835.25,21741.900390625,14.579999923706056,10,0.9635772229475182,2.0
2024-01-01,21800.0,2024-01-04,PE,3991550,2270657,98.15,21741.900390625,14.579999923706056,3,1.002672241539661,1.0
2024-01-01,20900.0,2024-01-25,PE,1499200,18197,61.3,21741.900390625,14.579999923706056,24,0.9612775159715099,4.0
2024-01-01,20900.0,2024-01-11,CE,452550,784,929.45,21741.900390625,14.579999923706056,10,0.9612775159715099,2.0
2024-01-01,21350.0,2024-01-04,PE,1686700,412831,12.1,21741.900390625,14.579999923706056,3,0.9819748787555854,1.0
2024-01-01,21900.0,2024-01-11,PE,204300,17564,215.65,21741.900390625,14.579999923706056,10,1.0072716554916779,2.0
2024-01-01,21600.0,2024-01-04,PE,5419700,1812676,40.5,21741.900390625,14.579999923706056,3,0.9934734136356275,1.0
2024-01-01,21600.0,2024-01-18,CE,14200,369,420.25,21741.900390625,14.579999923706056,17,0.9934734136356275,3.0
2024-01-01,20850.0,2024-01-18,PE,3350,224,32.3,21741.900390625,14.579999923706056,17,0.9589778089955014,3.0
2024-01-01,21350.0,2024-01-25,PE,67700,2412,131.4,21741.900390625,14.579999923706056,24,0.9819748787555854,4.0
2024-01-01,21350.0,2024-01-25,CE,39700,289,698.4,21741.900390625,14.579999923706056,24,0.9819748787555854,4.0
2024-01-01,21350.0,2024-01-18,CE,1900,0,527.15,21741.900390625,14.579999923706056,17,0.9819748787555854,3.0
2024-01-01,22750.0,2024-01-25,PE,1600,1,859.0,21741.900390625,14.579999923706056,24,1.0463666740838204,4.0
2024-01-01,22500.0,2024-01-04,CE,6924200,729245,2.35,21741.900390625,14.579999923706056,3,1.0348681392037786,1.0
2024-01-01,22500.0,2024-01-18,CE,89350,3320,49.45,21741.900390625,14.579999923706056,17,1.0348681392037786,3.0
